"PK_ID","sID","Race","Ethnicity","Gender","free_reduced_lunch","limited_english_proficiency","treatment","academic_knowledge","parent_time_read","parent_edu","CTOPP_Blend","CTOPP_EL","letter_ID","picture_vocab","passage_comp","word_attack","KBIT_matrices","KBIT_riddles","KBIT_verbal"
10000,1,3,0,0,1,0,1,14,3,4,6,8,12,20,8,3,26,16,22
10001,1,3,0,1,1,0,1,13,2,3,11,3,9,18,7,2,17,12,17
10004,1,3,0,0,1,0,1,11,3,3,6,4,14,16,0,3,17,10,9
10009,1,3,0,0,1,0,1,8,2,2,8,3,15,12,3,2,13,10,8
10010,1,3,0,1,1,0,1,11,3,1,4,0,8,17,5,2,12,12,9
10012,1,3,0,0,1,0,1,10,3,3,8,1,10,16,6,3,11,9,7
10013,1,3,0,0,1,0,1,11,2,2,4,0,12,17,3,3,12,10,5
10014,1,3,0,1,1,0,1,10,3,1,6,2,13,16,7,2,17,13,9
10015,1,3,0,1,1,0,1,9,3,2,3,2,14,15,4,3,14,11,9
10018,1,3,0,1,0,0,1,12,3,4,6,3,16,15,7,3,14,12,14
10019,1,3,0,0,1,0,1,9,3,1,0,1,5,14,5,2,11,10,10
10020,1,3,0,1,1,0,1,12,2,2,3,1,6,15,7,2,17,13,10
10021,1,3,0,1,1,0,1,13,3,3,9,0,16,16,4,3,12,12,9
10023,1,3,0,0,1,0,1,12,3,3,3,3,13,14,5,2,14,13,17
10025,1,3,0,0,1,0,1,13,3,2,5,3,9,15,4,3,14,11,14
10026,1,3,0,0,1,0,1,10,3,3,10,7,17,16,6,3,17,8,13
10027,1,3,0,1,1,0,1,11,1,1,6,5,12,22,2,2,13,10,14
10029,1,3,0,1,1,0,1,8,3,4,4,0,2,13,4,1,10,6,4
10030,1,3,0,1,1,0,1,9,3,3,4,0,12,13,4,1,12,11,7
10031,1,3,0,0,1,0,1,12,4,2,4,1,12,15,5,2,8,11,8
10032,1,3,0,1,1,0,1,12,2,2,4,3,6,15,4,2,14,10,12
10161,3,5,0,1,0,0,1,12,2,3,9,0,20,14,6,11,23,13,15
10176,3,5,0,0,0,0,1,11,3,3,6,3,10,15,4,2,20,12,17
10003,1,3,0,1,1,0,1,13,4,4,9,2,13,20,5,3,15,12,17
10005,1,3,0,0,1,0,1,10,1,4,6,0,6,14,1,2,7,8,13
10017,1,3,0,0,1,1,1,8,2,2,2,2,8,13,3,3,16,3,5
10035,1,3,0,0,1,0,1,8,2,1,5,0,12,12,3,3,2,7,6
10037,1,3,0,0,1,0,1,12,3,3,4,0,10,16,4,3,15,9,10
10038,1,3,0,1,1,0,1,12,2,1,4,2,12,14,5,3,11,13,11
10039,1,3,0,1,1,0,1,13,3,2,5,2,14,12,6,3,19,11,12
10040,1,3,0,1,1,0,1,13,2,2,4,3,14,18,4,2,18,14,12
10041,1,3,0,1,1,0,1,13,3,3,7,4,15,17,6,4,15,14,15
10042,1,3,0,0,1,0,1,11,3,3,3,0,7,10,4,1,5,6,8
10043,1,3,0,1,1,0,1,12,2,1,0,2,9,16,4,2,18,10,15
10045,1,3,0,1,1,0,1,12,2,3,2,0,10,12,4,3,2,10,11
10046,1,3,0,0,1,0,1,12,2,2,3,0,12,11,4,3,8,10,9
10047,1,3,0,0,1,0,1,10,3,3,9,2,15,16,6,3,15,11,11
10048,1,3,0,1,1,0,1,12,3,3,6,3,16,19,5,3,10,12,7
10049,1,3,0,1,1,0,1,14,3,1,13,5,19,15,8,3,10,10,13
10051,1,3,0,1,1,0,1,13,2,3,11,6,15,20,8,4,17,16,16
10053,1,3,0,1,1,0,1,10,2,1,7,8,15,16,6,4,15,12,9
10054,1,3,0,1,1,0,1,14,2,2,5,2,16,17,4,3,19,12,9
10055,1,3,0,1,1,0,1,14,1,1,5,2,14,19,8,3,11,9,6
10057,1,3,0,0,1,0,1,12,2,3,9,5,18,17,8,6,21,13,17
10058,1,3,0,1,1,0,1,11,3,3,5,0,6,16,6,3,14,8,8
10060,1,3,0,1,1,0,1,11,3,3,4,0,10,12,7,3,13,10,9
10061,1,3,0,1,1,0,1,9,3,3,6,0,16,17,6,3,13,9,9
10064,1,3,0,0,1,0,1,12,2,2,4,4,14,15,4,3,20,12,9
10065,1,3,0,1,1,0,1,9,3,1,3,1,10,15,4,3,14,10,8
10067,1,3,0,0,1,0,1,8,2,1,4,1,5,14,5,1,4,4,7
10069,1,3,0,1,1,0,1,11,3,3,3,0,13,14,5,2,10,8,11
10070,1,3,0,1,1,0,1,11,1,4,5,6,9,16,4,2,13,8,12
10071,1,3,0,0,0,0,1,6,4,4,0,0,7,13,5,1,1,3,4
10074,1,3,0,1,1,0,1,15,2,2,2,1,12,18,6,2,10,13,12
10075,1,3,0,1,1,0,1,8,2,4,0,0,10,14,4,1,10,6,7
10076,1,3,0,0,1,0,1,10,2,3,3,4,11,15,9,3,7,9,5
10077,1,3,0,0,1,0,1,12,1,3,4,3,14,15,7,3,18,12,11
